X Coordinate,Y Coordinate
0.0,0.0
1.0,0.19992930396830622
2.0,0.41780392901014396
3.0,0.6526914996009467
4.0,0.9036911498518423
5.0,1.1699020138739584
6.0,1.4504232257784226
7.0,1.7443539196763633
8.0,2.050793229678908
9.0,2.3688402898971836
10.0,2.697594234442319
11.0,3.0361541974254407
12.0,3.3836193129576775
13.0,3.7390887151501566
14.0,4.101661538114006
15.0,4.470436915960354
16.0,4.8445139828003265
17.0,5.222991872745054
18.0,5.604969719905662
19.0,5.98954665839328
20.0,6.3758218223190335
21.0,6.762894345794052
22.0,7.149863362929462
23.0,7.535828007836394
24.0,7.919887414625973
25.0,8.301140717409325
26.0,8.678687050297581
27.0,9.051625547401871
28.0,9.419055342833317
29.0,9.780075570703051
30.0,10.133785365122197
31.0,10.479283860201889
32.0,10.815670190053249
33.0,11.142043488787404
34.0,11.457502890515487
35.0,11.761147529348621
36.0,12.05207653939794
37.0,12.329389054774563
38.0,12.592184209589622
39.0,12.839561137954247
40.0,13.070618973979563
41.0,13.2844568517767
42.0,13.480173905456782
43.0,13.656869269130937
44.0,13.813642076910302
45.0,13.94959146290599
46.0,14.063816561229142
47.0,14.155416505990875
48.0,14.223490431302325
49.0,14.267137471274616
50.0,14.285456760018873
