X Coordinate,Y Coordinate
0.0,-0.09899007093123492
0.5,-0.013515804208795792
1.0,0.07597564097226565
1.5,0.16938573240535404
2.0,0.26661593788387383
2.5,0.36756772520122977
3.0,0.4721425621508265
3.5,0.5802419165260684
4.0,0.6917672561203602
4.5,0.8066200487271066
5.0,0.9247017621397119
5.5,1.045913864151581
6.0,1.1701578225561182
6.5,1.2973351051467286
7.0,1.4273471797168162
7.5,1.560095514059786
8.0,1.6954815759690425
8.5,1.8334068332379903
9.0,1.973772753660034
9.5,2.1164808050285786
10.0,2.2614324551370273
10.5,2.4085291717787864
11.0,2.557672422747259
11.5,2.708763675835851
12.0,2.8617043988379667
12.5,3.01639605954701
13.0,3.1727401257563863
13.5,3.3306380652594996
14.0,3.4899913458497545
14.5,3.6507014353205567
15.0,3.812669801465309
15.5,3.975797912077417
16.0,4.1399872349502855
16.5,4.305139237877318
17.0,4.471155388651921
17.5,4.637937155067498
18.0,4.8053860049174535
18.5,4.973403405995192
19.0,5.1418908260941185
19.5,5.310749733007638
20.0,5.479881594529154
20.5,5.649187878452071
21.0,5.818570052569795
21.5,5.9879295846757294
22.0,6.157167942563278
22.5,6.326186594025849
23.0,6.494887006856843
23.5,6.6631706488496665
24.0,6.830938987797725
24.5,6.99809349149442
25.0,7.1645356277331596
25.5,7.330166864307346
26.0,7.494888669010384
26.5,7.6586025096356805
27.0,7.821209853976635
27.5,7.982612169826659
28.0,8.142710924979154
28.5,8.30140758722752
29.0,8.45860362436517
29.5,8.614200504185503
30.0,8.768099694481924
30.5,8.920202663047839
31.0,9.070410877676652
31.5,9.21862580616177
32.0,9.364748916296591
32.5,9.508681675874527
33.0,9.650325552688978
33.5,9.789582014533353
34.0,9.92635252920105
34.5,10.060538564485478
35.0,10.192041588180043
35.5,10.320763068078147
36.0,10.446604471973195
36.5,10.569467267658592
37.0,10.689252922927741
37.5,10.805862905574049
38.0,10.919198683390919
38.5,11.029161724171756
39.0,11.135653495709963
39.5,11.238575465798952
40.0,11.337829102232119
40.5,11.43331587280287
41.0,11.52493724530461
41.5,11.612594687530747
42.0,11.696189667274684
42.5,11.775623652329822
43.0,11.85079811048957
43.5,11.921614509547332
44.0,11.987974317296512
44.5,12.049779001530512
45.0,12.10693003004274
45.5,12.159328870626602
46.0,12.206876991075498
46.5,12.249475859182834
47.0,12.287026942742017
47.5,12.319431709546445
48.0,12.34659162738953
48.5,12.368408164064677
49.0,12.384782787365287
49.5,12.395616965084765
50.0,12.400812165016514
